,Approval_Date,Loan,Valuation,Country,Origin,Joint,App1_Age,App2_Age,App1_G,App2_G,App1_Income,App2_Income,Property_Type,Area,Property_Age,Advance_Date
51,17/03/2023,118000,198500,0,2,0,51,,0,,20000,,2,0,161,
52,17/03/2022,149000,317500,0,1,1,58,52,0,0,13906,17013,3,0,20,
53,20/08/2023,95000,169300,0,,0,52,,1,,20000,,2,0,50,
54,22/05/2023,189000,344200,,1,1,18,41,0,1,13483,14427,3,2,84,12/06/2023
55,01/12/2023,192000,272000,3,1,1,45,47,0,1,15838,21868,2,0,204,04/01/2024
56,03/09/2021,122000,205400,2,1,0,41,,0,,20000,,1,0,15,
57,06/06/2024,184000,359700,0,1,0,72,,0,,25259,,3,0,194,
58,19/06/2024,424000,783500,0,1,1,36,45,1,0,48115,38516,,0,8,14/07/2024
59,19/10/2023,61000,83200,0,1,1,44,45,1,0,6621,13379,2,2,158,05/11/2023
60,10/10/2023,241000,297900,2,2,1,21,32,1,0,12532,10344,2,0,,
61,20/08/2023,45000,77200,0,2,0,46,,0,,20000,,2,1,84,
62,11/09/2022,25000,31600,0,,0,49,,1,,20000,,2,1,75,
63,10/04/2023,105000,208800,0,1,0,60,,1,,20000,,1,0,134,
64,24/05/2024,599000,730000,0,1,0,66,,0,,60280,,3,2,46,
65,03/09/2022,280000,602500,0,2,0,34,,1,,66354,,3,0,208,
66,09/04/2024,411000,469100,0,0,0,63,,0,,47204,,2,1,6,
67,20/11/2023,411000,582500,0,2,0,47,,0,,48035,,3,0,76,
68,24/02/2022,142000,203100,3,0,0,42,,1,,20000,,1,1,26,
69,09/02/2022,135000,254600,0,1,0,53,,1,,20000,,2,0,49,09/02/2022
70,09/09/2022,258000,483100,0,2,0,44,,0,,43172,,3,1,89,
71,11/10/2021,85000,199500,0,2,1,48,50,0,0,5368,14632,1,1,4,
72,19/12/2023,121000,154600,0,1,0,22,,1,,20000,,3,0,69,
73,27/11/2022,171000,263200,0,1,0,34,,1,,20000,,2,0,77,19/12/2022
74,16/12/2023,83000,138800,2,1,0,33,,1,,20000,,2,0,82,02/01/2024
75,16/08/2022,86000,122600,0,1,1,49,32,0,1,13269,6731,3,0,,
76,25/11/2022,256000,406200,0,1,0,59,,0,,38706,,2,0,,13/12/2022
77,19/02/2023,122000,158000,,2,0,27,,1,,20000,,2,0,39,
78,02/02/2023,120000,197300,0,2,0,38,,1,,20000,,3,0,245,
79,03/12/2022,145000,276000,1,2,1,50,67,1,0,13371,9483,2,1,51,28/12/2022
80,28/07/2024,207000,293600,,2,1,19,59,0,0,15816,10423,2,0,214,
81,07/02/2023,106000,206300,0,1,0,43,,1,,20000,,1,0,91,
82,12/08/2023,184000,375900,3,1,0,27,,0,,31565,,2,0,31,
83,09/01/2022,152000,243600,0,1,1,62,29,0,1,9724,12060,3,1,3,
84,19/10/2022,47000,74300,0,1,0,54,,1,,20000,,2,0,55,08/11/2022
85,22/08/2022,338000,523800,1,1,1,48,43,1,0,17557,33403,3,0,55,
86,16/03/2022,75000,206700,0,1,1,46,29,0,1,11079,8921,1,1,88,04/04/2022
87,12/05/2023,104000,117800,0,2,0,52,,1,,20000,,2,0,,
88,15/11/2023,133000,426300,0,1,1,55,54,0,1,27020,20678,3,0,252,01/12/2023
89,28/11/2021,128000,201800,0,0,0,18,,1,,20000,,0,1,6,
90,27/04/2022,132000,314300,0,0,1,51,46,1,0,13339,13714,2,0,159,
91,27/02/2023,119000,158700,0,1,0,18,,0,,20000,,2,0,54,03/04/2023
92,21/10/2022,132000,195200,0,1,1,33,58,1,0,8081,11919,0,0,15,
93,29/06/2022,161000,286100,0,1,0,50,,0,,26303,,2,0,3,23/07/2022
94,14/05/2024,110000,204800,0,1,0,48,,1,,20000,,1,2,77,19/05/2024
95,30/11/2021,77000,164500,0,1,1,55,64,1,0,12550,7450,2,0,65,
96,23/03/2023,55000,81000,0,2,1,51,53,0,1,16300,3700,2,0,3,
97,05/03/2022,85000,160800,0,1,1,21,60,0,1,6502,13498,3,0,72,
98,03/05/2023,92000,136500,0,1,0,49,,0,,20000,,3,0,20,
99,20/04/2023,71000,165000,0,1,1,58,37,0,1,10552,9448,3,0,50,
100,03/11/2023,164000,198600,1,,0,74,,1,,20480,,3,2,76,24/12/2023
101,15/02/2023,31000,55100,0,1,1,60,64,1,0,12343,7657,2,0,14,09/02/2023
102,27/06/2024,672000,1018500,0,1,0,41,,1,,95409,,2,0,,
103,13/02/2023,330000,407800,0,2,1,27,18,0,1,20889,12715,3,1,60,21/03/2023
104,18/05/2024,338000,829600,2,,1,42,37,0,1,57035,27063,3,1,82,
105,22/07/2024,451000,659600,0,1,0,65,,1,,60300,,3,2,2,23/08/2024
106,10/08/2022,286000,545400,0,1,0,51,,0,,47362,,2,0,81,
107,25/08/2023,225000,316800,0,0,0,51,,0,,22810,,3,1,83,26/09/2023
108,18/05/2022,295000,673600,0,0,0,50,,1,,57117,,2,0,1,
109,29/10/2021,21000,42800,0,1,1,44,40,0,1,12938,7062,2,,6,07/10/2021
110,19/11/2021,71000,132100,0,,1,30,37,1,0,7046,12954,2,1,30,
111,09/02/2023,179000,284800,2,2,0,47,,1,,29584,,3,,30,
112,21/09/2021,310000,651400,0,2,1,20,62,1,0,30374,26341,3,0,13,
113,31/01/2024,210000,379800,2,2,1,48,49,0,1,14187,21744,3,0,89,
114,07/09/2021,175000,195900,1,1,0,38,,1,,26509,,0,0,143,
115,30/09/2022,270000,386400,0,1,0,61,,0,,34282,,,0,34,17/10/2022
116,02/06/2022,247000,441900,0,,1,30,28,1,0,20021,26231,2,1,35,22/06/2022
117,14/04/2024,65000,147600,0,1,0,51,,1,,20000,,3,0,19,
118,31/08/2023,358000,590300,0,1,0,75,,1,,49800,,3,0,49,16/10/2023
119,28/02/2022,75000,231700,0,1,1,55,40,0,1,13622,12052,2,0,84,24/02/2022
120,15/05/2022,98000,195200,0,1,1,64,48,1,0,8098,11902,0,0,81,
121,29/08/2023,116000,212700,0,2,0,40,,1,,20000,,1,2,,09/09/2023
122,18/02/2023,295000,385600,0,0,0,33,,1,,77030,,2,0,29,
123,09/08/2024,29000,53000,3,1,1,62,59,0,1,11621,8379,2,1,0,26/08/2024
124,05/06/2022,505000,661800,,1,1,49,49,0,1,19990,43098,2,0,59,
125,08/03/2022,93000,110300,0,2,1,68,35,0,1,11809,8191,2,2,212,
126,17/11/2022,153000,205000,0,0,0,54,,1,,20000,,3,0,88,
127,22/09/2021,94000,180800,0,1,1,48,28,1,0,8985,11015,2,0,81,
128,17/08/2023,57000,142300,2,1,0,19,,1,,20000,,3,2,86,
129,08/08/2024,63000,125000,0,1,0,41,,1,,20000,,2,0,40,22/08/2024
130,31/07/2024,173000,274700,0,2,0,65,,1,,25629,,2,,73,
131,21/07/2024,98000,225400,2,0,0,42,,0,,22141,,2,2,14,
132,29/03/2024,683000,959400,0,1,0,40,,0,,80308,,2,0,92,12/05/2024
133,23/11/2022,135000,287000,3,1,1,39,33,1,0,14353,5647,2,0,205,23/12/2022
134,26/08/2022,69000,124300,0,0,0,51,,0,,20000,,2,0,,
135,27/12/2022,145000,190300,0,1,1,55,69,0,1,9800,10200,2,0,11,
136,14/02/2024,599000,769300,0,0,1,48,34,1,0,66454,16810,3,0,225,24/03/2024
137,09/03/2024,70000,123700,0,0,1,55,63,1,0,7695,12305,2,2,6,
138,27/02/2023,85000,137700,0,1,1,50,68,1,0,12337,7663,2,0,69,08/03/2023
139,18/02/2024,200000,391500,0,1,0,29,,0,,35824,,2,1,201,
140,27/12/2022,183000,236000,0,1,0,49,,0,,20028,,2,,72,25/01/2023
141,26/08/2024,427000,512000,0,,0,57,,1,,48237,,2,0,251,
142,06/03/2023,136000,209500,0,1,0,46,,0,,20000,,1,0,13,
143,31/10/2021,150000,207100,0,0,0,28,,1,,21885,,0,0,56,
144,04/11/2023,360000,482500,0,1,0,18,,0,,36781,,2,1,18,03/12/2023
145,04/03/2022,260000,337400,0,2,0,47,,1,,28854,,2,0,83,
146,09/04/2023,158000,206000,0,2,1,34,55,0,1,11968,8032,1,0,,11/05/2023
147,02/07/2023,264000,546200,0,1,0,40,,0,,52520,,2,1,81,
148,24/03/2022,98000,147000,0,2,0,57,,0,,20000,,2,0,58,
149,15/07/2022,72000,124800,0,1,1,52,49,0,0,10285,9715,2,0,231,
150,25/01/2023,314000,557300,2,1,0,47,,1,,42662,,2,0,35,
151,14/11/2023,346000,547800,0,1,1,58,43,1,0,29153,16005,3,0,8,
152,23/11/2022,57000,72100,0,2,1,59,43,0,1,11749,8251,2,0,73,26/12/2022
153,05/09/2023,361000,506300,0,2,0,35,,0,,40646,,,1,37,
154,28/08/2022,127000,169900,0,1,0,75,,0,,20000,,,0,223,
155,11/06/2023,84000,132700,0,1,0,75,,1,,20000,,2,1,78,
156,05/10/2022,91000,212200,0,0,1,46,18,0,1,9886,10114,3,0,,
157,06/04/2024,418000,629000,0,1,0,50,,0,,49458,,3,0,73,19/05/2024
158,15/01/2023,100000,130000,0,1,1,63,56,1,0,14694,5306,2,0,44,21/02/2023
159,12/11/2022,91000,156800,0,2,0,48,,0,,20000,,2,0,37,
160,22/05/2022,380000,477000,0,1,0,40,,1,,38318,,3,0,61,12/06/2022
161,14/08/2023,100000,203900,0,1,0,44,,0,,21294,,3,0,214,
162,04/01/2022,49000,64900,0,,1,46,34,1,0,9595,10405,2,0,237,
163,01/03/2022,230000,451900,0,1,1,26,22,1,0,13109,26405,3,0,53,23/03/2022
164,14/08/2024,129000,203800,0,1,0,20,,0,,20063,,0,0,160,
165,13/04/2024,137000,190600,0,2,1,24,50,1,0,13576,6424,2,0,89,
166,23/02/2023,260000,391100,0,1,0,52,,0,,35387,,3,0,91,25/03/2023
167,23/07/2022,329000,423900,0,1,1,37,23,0,0,32521,17892,2,0,14,
168,24/04/2023,78000,197100,0,1,1,48,38,1,0,12261,7739,0,0,59,
169,28/07/2024,145000,197800,0,2,0,47,,0,,20000,,2,1,33,28/08/2024
170,22/02/2023,172000,293500,0,1,0,64,,0,,23152,,,0,72,
171,01/09/2023,63000,116600,0,2,0,37,,0,,20000,,2,0,6,
172,27/06/2023,51000,82000,,,1,35,75,1,0,16195,3805,,1,215,30/07/2023
173,17/09/2022,117000,251800,2,1,0,33,,1,,20385,,3,1,199,
174,26/05/2023,109000,211900,0,0,1,27,46,0,1,12678,10853,1,,207,14/06/2023
175,13/04/2022,66000,121200,0,,1,47,36,0,1,15044,4956,3,0,1,18/04/2022
176,20/02/2023,26000,58800,0,2,0,38,,1,,20000,,2,0,80,09/03/2023
177,15/05/2023,273000,436200,2,1,0,63,,1,,70665,,3,0,83,
178,25/11/2021,193000,242800,2,1,1,22,43,1,0,13124,8911,2,0,76,
179,10/07/2024,50000,97300,3,1,1,46,53,0,1,5224,14776,2,0,,31/07/2024
180,10/04/2024,166000,243800,3,1,1,41,45,0,1,9524,11424,2,1,84,
181,03/09/2021,397000,555200,0,1,0,56,,0,,63039,,2,0,190,
182,09/03/2024,124000,189700,0,2,0,61,,0,,20000,,2,0,47,
183,09/04/2024,328000,414500,2,1,0,49,,0,,30450,,3,1,88,
184,20/07/2023,144000,207200,0,1,0,36,,0,,32441,,1,0,77,
185,02/03/2022,166000,229400,0,,0,29,,1,,20947,,2,0,190,09/04/2022
186,22/12/2021,98000,175000,0,1,0,29,,0,,20000,,2,0,,
187,27/02/2022,94000,214700,0,1,1,35,58,0,1,14117,5883,3,0,54,
188,12/05/2023,131000,211300,0,,0,19,,0,,20000,,2,1,156,
189,08/11/2021,241000,369600,0,1,0,54,,0,,27614,,2,0,38,
190,06/09/2023,266000,360500,0,2,1,60,49,0,1,20145,17145,2,0,86,13/10/2023
191,25/02/2023,119000,173400,0,1,1,44,20,1,0,10084,9916,2,0,10,06/03/2023
192,24/08/2024,82000,96800,0,1,1,71,62,1,0,7226,12774,2,0,53,
193,05/02/2024,94000,197900,1,1,0,51,,0,,20000,,0,0,9,
194,16/02/2022,159000,252100,0,0,0,49,,1,,22390,,,1,36,04/03/2022
195,06/09/2022,76000,165500,0,0,1,29,46,1,0,6488,13512,2,0,214,05/10/2022
196,08/08/2022,52000,91200,2,1,1,56,37,0,1,11322,8678,2,0,39,
197,16/08/2022,45000,92500,3,0,0,75,,0,,20000,,2,1,238,
198,09/09/2022,265000,382600,0,1,0,45,,0,,29488,,3,0,68,
199,29/09/2022,81000,130000,0,2,1,63,40,0,1,14040,5960,2,0,12,
200,30/08/2024,187000,289500,0,1,1,49,66,1,0,7408,15457,2,0,68,
201,15/04/2023,106000,155600,0,1,1,54,52,1,0,8655,11345,,0,224,
202,22/03/2022,143000,207700,0,,1,50,54,0,1,7625,12538,1,0,86,09/05/2022
203,30/09/2023,207000,338800,1,1,1,66,27,0,1,20618,10346,2,1,18,
204,08/02/2023,223000,420500,0,0,0,75,,1,,36623,,3,0,230,
205,19/03/2023,295000,470000,0,1,0,68,,1,,49086,,3,0,243,
206,13/06/2024,47000,122500,0,2,1,52,42,0,1,4107,15893,2,0,52,
207,27/10/2022,222000,468200,0,2,1,34,53,1,0,12010,29708,3,1,53,
208,23/03/2023,472000,769300,0,1,0,51,,0,,63080,,2,0,16,
209,29/10/2021,151000,262000,0,2,0,38,,0,,26197,,3,1,76,08/11/2021
210,19/06/2024,158000,233100,2,2,0,38,,1,,20000,,2,0,195,
211,18/10/2023,79000,120700,0,1,0,30,,0,,20000,,2,0,69,
212,19/08/2024,62000,187900,,1,0,37,,0,,20000,,2,0,72,
213,17/06/2024,83000,135100,0,2,0,75,,1,,20000,,3,0,156,
214,26/04/2023,92000,157800,0,2,0,31,,0,,20000,,3,0,264,
215,20/05/2022,188000,466800,0,1,1,67,38,0,1,24954,15529,3,0,58,
216,06/06/2024,36000,62700,0,2,0,26,,1,,20000,,,1,90,
217,24/10/2023,95000,130200,2,0,1,30,51,1,0,6054,13946,2,1,207,
218,24/08/2024,153000,222800,0,0,0,75,,1,,21395,,1,,143,
219,06/05/2024,534000,624900,2,1,0,25,,0,,68516,,,0,52,13/06/2024
220,21/08/2022,111000,170100,0,0,0,54,,0,,25633,,2,0,12,
221,09/04/2024,116000,205100,0,1,0,50,,0,,20000,,1,0,81,16/04/2024
222,06/09/2023,187000,345100,0,1,0,52,,1,,31456,,3,0,92,26/09/2023
223,25/01/2022,115000,209200,0,0,1,47,22,1,0,15197,4803,1,,82,
224,03/11/2023,245000,325700,0,1,1,23,67,0,1,12357,20486,3,0,198,
225,12/08/2024,55000,132400,0,2,1,32,70,1,0,8697,11303,2,2,63,
226,24/04/2022,91000,169500,0,1,0,61,,1,,20000,,3,0,34,
227,12/05/2024,143000,257700,0,1,1,68,39,1,0,10849,31337,,0,80,
228,27/01/2022,92000,322100,0,,0,62,,1,,25148,,2,0,,14/02/2022
229,23/03/2023,271000,440500,2,2,0,75,,1,,45377,,3,0,32,
230,28/08/2024,87000,194500,0,2,1,42,32,0,1,4839,20342,,0,59,
231,29/05/2024,82000,197900,0,2,0,49,,0,,20000,,0,0,92,
232,10/03/2022,111000,204100,0,2,0,45,,1,,20000,,1,0,84,14/04/2022
233,26/01/2023,268000,568300,0,1,1,56,55,1,0,10529,31792,3,0,156,
234,09/07/2024,111000,207500,0,1,1,42,54,0,1,1576,18424,1,0,,
235,19/05/2024,97000,123900,0,0,0,20,,0,,20000,,2,0,5,
236,21/10/2021,170000,301600,0,1,0,60,,0,,29133,,2,,88,
237,16/02/2022,152000,212500,0,1,0,37,,1,,20000,,2,1,169,30/03/2022
238,07/09/2022,157000,277100,3,0,1,34,59,1,0,7537,12853,2,0,166,
239,02/03/2023,47000,55400,0,2,1,57,30,1,0,5630,14370,2,0,95,
240,05/09/2022,133000,211800,0,1,0,50,,0,,20000,,2,0,79,
241,19/11/2023,98000,199700,0,1,1,30,39,1,0,14667,8726,0,0,191,04/12/2023
242,12/11/2023,41000,92100,0,2,0,28,,1,,20000,,2,0,63,
243,23/07/2022,537000,1353800,0,1,0,52,,1,,89630,,3,0,9,14/08/2022
244,10/09/2022,122000,340700,,2,0,31,,0,,27216,,2,0,279,18/09/2022
245,31/01/2022,164000,258100,0,1,0,68,,0,,20809,,2,0,72,
246,22/12/2022,192000,293800,0,1,0,39,,1,,41176,,2,0,1,28/01/2023
247,07/08/2022,247000,321600,0,0,1,55,51,1,0,18554,10577,2,0,2,
248,06/05/2024,128000,210600,0,1,1,60,36,1,0,6061,13939,1,0,91,
249,03/06/2024,153000,225800,0,2,0,47,,0,,20000,,2,0,57,
250,10/05/2023,59000,118600,0,1,1,31,31,1,0,8595,11405,2,1,177,
251,15/11/2022,69000,167100,0,0,0,25,,0,,20000,,3,0,79,
252,08/04/2022,337000,572600,0,1,0,40,,0,,40592,,3,0,,16/05/2022
253,27/07/2024,300000,573300,0,2,1,49,75,1,0,19238,28817,3,0,74,
254,04/04/2023,98000,199500,0,1,1,34,49,0,1,10657,9343,0,0,71,
255,13/08/2022,426000,548000,0,0,1,60,75,0,1,11474,36604,3,0,7,10/10/2022
256,27/11/2023,97000,218700,,1,1,43,67,0,1,14095,5905,2,0,61,09/12/2023
257,08/09/2023,101000,196700,0,0,1,18,70,1,0,7127,17736,0,0,57,
258,21/08/2024,774000,1127800,0,2,0,74,,0,,100205,,3,0,259,
259,28/11/2021,36000,46800,0,1,0,51,,0,,20000,,2,0,15,
260,11/09/2022,68000,92500,,1,0,32,,0,,20000,,2,0,78,
261,14/09/2021,119000,188200,0,2,0,46,,0,,20000,,2,0,78,
262,26/01/2023,108000,135800,0,2,1,58,46,1,0,3795,16205,2,1,76,
263,12/08/2022,123000,220700,2,1,0,33,,0,,20000,,2,,57,
264,17/08/2024,162000,338100,0,2,0,58,,0,,28022,,2,0,88,
265,21/12/2021,83000,138600,0,1,1,49,36,0,1,7474,12526,2,0,5,26/01/2022
266,23/02/2023,384000,595900,0,1,0,49,,1,,60995,,3,,190,13/03/2023
267,17/04/2022,154000,260500,2,1,1,47,39,1,0,5236,16821,2,1,37,
268,16/03/2022,193000,376200,0,1,1,49,32,1,0,38541,6148,2,1,12,08/04/2022
269,05/09/2023,241000,458900,0,1,1,51,49,1,0,12574,33139,,0,92,
270,08/08/2022,169000,211100,3,1,0,60,,1,,20000,,1,0,75,
271,20/09/2023,139000,195400,0,,0,75,,0,,22958,,1,0,14,13/10/2023
272,27/08/2023,173000,286000,0,2,1,51,74,1,1,12996,9171,2,2,,
273,26/08/2022,104000,242600,0,1,0,54,,1,,20000,,2,2,84,
274,13/08/2024,188000,237100,0,0,1,27,44,0,1,13529,8326,3,1,200,
275,10/05/2023,353000,476300,0,1,1,32,47,1,0,22822,19668,3,1,88,
276,27/06/2022,439000,652700,0,1,1,64,46,1,0,29846,19161,2,,198,
277,14/07/2023,80000,121700,0,2,0,53,,0,,20000,,2,0,220,
278,06/12/2022,160000,258300,0,,0,58,,1,,23088,,2,0,89,
279,07/10/2022,170000,273100,0,1,1,42,53,1,0,12096,14270,2,1,,
280,20/07/2023,139000,386900,0,1,1,45,46,1,0,16543,20961,3,0,81,
281,16/05/2024,86000,244700,2,0,0,57,,1,,20273,,2,0,9,
282,16/02/2023,122000,193300,0,2,0,55,,0,,20000,,,1,74,
283,21/12/2022,222000,286700,0,0,0,56,,0,,20000,,2,0,56,
284,08/12/2022,213000,434100,0,1,0,36,,0,,38632,,2,1,52,
285,08/02/2024,52000,126700,0,1,0,39,,0,,20000,,2,0,,
286,08/03/2022,71000,89200,0,1,1,18,36,0,1,9445,10555,2,0,18,17/04/2022
287,13/02/2022,497000,952100,0,2,0,47,,0,,69942,,2,1,245,
288,29/08/2024,83000,171200,0,1,1,46,46,0,1,4930,15650,2,0,83,
289,06/03/2024,89000,212500,0,2,1,69,70,1,0,5471,14766,1,2,163,08/04/2024
290,11/03/2023,87000,145400,1,1,0,46,,0,,20000,,3,1,70,
291,19/12/2021,88000,154600,0,1,0,61,,0,,20000,,2,,71,24/12/2021
292,26/04/2024,71000,109400,0,1,0,46,,1,,20000,,2,0,6,
293,27/02/2023,207000,460300,2,1,0,66,,0,,43685,,3,2,63,
294,09/06/2023,171000,206800,0,0,0,25,,0,,20000,,1,,74,01/07/2023
295,20/11/2022,343000,566300,0,1,1,42,41,1,0,28702,13402,2,0,76,10/12/2022
296,04/07/2023,398000,581600,0,,0,56,,0,,47554,,2,2,16,08/08/2023
297,24/03/2024,60000,127700,,1,0,65,,0,,20000,,2,,1,12/04/2024
298,14/01/2024,187000,308100,0,2,0,18,,0,,35672,,,,187,05/02/2024
299,27/02/2023,21000,31000,0,1,1,50,55,1,0,5147,14853,2,0,,14/03/2023
300,12/09/2021,131000,200500,1,1,0,55,,1,,20000,,,0,12,30/09/2021
301,11/08/2024,225000,401700,0,0,0,54,,1,,30386,,2,0,256,30/08/2024
302,08/05/2024,150000,245400,0,1,0,65,,1,,22029,,2,0,52,
303,13/08/2024,291000,566400,0,2,1,73,43,0,1,31236,20705,2,0,206,
304,17/04/2023,321000,410900,0,1,0,47,,0,,34837,,3,0,67,
305,18/01/2024,1175000,1537400,0,1,1,46,36,0,1,92757,68710,,,,
306,17/09/2021,141000,319000,0,1,0,75,,1,,26040,,2,,1,
307,05/09/2022,63000,205500,0,1,1,28,75,0,1,12511,7489,1,0,52,
308,12/06/2024,118000,220000,0,1,0,37,,0,,23485,,1,1,73,
309,02/04/2022,206000,388900,0,1,0,49,,1,,39714,,3,0,197,
310,24/02/2024,391000,484300,3,1,1,65,63,1,0,19035,20991,2,2,79,
311,02/09/2023,328000,408800,0,1,0,38,,1,,35504,,3,0,56,
312,23/05/2022,99000,210000,0,1,1,52,35,1,0,15209,4791,1,0,75,
313,03/02/2024,116000,211300,0,1,0,67,,0,,20846,,3,0,35,
314,14/08/2024,205000,437700,0,1,0,36,,0,,38424,,2,0,78,
315,13/12/2022,136000,263300,0,2,1,39,40,1,0,9218,15811,3,1,75,
316,11/09/2021,157000,259500,0,1,0,59,,1,,25451,,2,0,189,26/09/2021
317,06/02/2024,384000,571700,0,1,0,60,,0,,57631,,3,1,56,
318,21/08/2022,67000,160000,0,2,1,70,54,0,1,6013,13987,2,1,87,
319,21/08/2022,496000,985500,0,1,0,66,,1,,87041,,3,0,198,
320,06/01/2024,114000,205600,0,1,0,52,,0,,21845,,2,0,261,
321,11/06/2023,162000,280500,0,2,1,21,18,1,0,18727,9866,2,1,11,03/07/2023
322,20/05/2023,102000,122400,,1,0,65,,0,,20000,,2,0,58,
323,30/07/2024,309000,600600,0,2,0,37,,0,,60996,,3,0,48,19/08/2024
324,26/04/2022,49000,132600,0,1,0,18,,0,,20000,,2,0,50,
325,09/09/2022,210000,342200,3,1,1,33,40,1,0,23127,8220,3,2,179,07/10/2022
326,01/09/2024,123000,163200,0,1,0,70,,1,,20000,,3,0,89,
327,03/09/2021,38000,80600,0,1,1,56,33,1,0,6955,13045,2,0,82,
328,05/03/2022,48000,105600,,2,1,43,31,1,0,9680,10320,,1,85,12/04/2022
329,03/01/2022,106000,141600,2,2,0,55,,1,,20000,,2,0,57,
330,09/09/2021,140000,310900,0,1,0,31,,1,,27608,,2,1,54,
331,16/12/2022,117000,181900,0,0,0,35,,0,,20000,,2,1,231,
332,30/03/2024,169000,213300,0,0,1,47,52,1,0,9474,13134,2,0,86,07/05/2024
333,12/04/2022,30000,47200,3,0,0,32,,0,,20000,,,0,8,23/05/2022
334,13/02/2024,149000,196600,0,2,1,27,75,1,0,8725,11275,2,0,10,
